Núm,Projeto,Relator,Atribuído a,Categoria,Data de Envio,Atualizado,Estado,Resumo,Corrigido na Versão,Data Limite,Descrição
0000373,C Projeto GPFB,Ytalo,Jeferson,[C Projeto GPFB]-[Cat] Entrada de Mercadoria,2013-02-21,2013-08-09,fechado,Markup (Preço de Venda) ao ser preenchido não esta alterando o campo Pr. Sugerido na entrada de mercadorias.,,,"Ao alterar o preço de Markup (Preço de Venda) na entrada de mercadorias o sistema não esta alterando o campo ""Pr. Sugerido"", o valor só é alterado quando o é lançado o produto e em seguida alterá-lo. "
0000370,C Projeto GPFB,Ytalo,Jeferson,[C Projeto GPFB]-[Cat] Relatórios,2013-02-21,2013-08-09,fechado,"Relatório ""Mapa de Vendas"" não esta funcionando corretamente.",,,"Ao fazer uma venda em um dia X e no dia seguinte inserir mais um produto na venda, ao gerar o relatório de ""Mapa de Vendas"" do dia em que a venda foi alterada o sistema esta trazendo o valor do dia em que a venda foi criada, duplicando assim o valor no sistema."
0000363,C Projeto GPFB,Ytalo,Jeferson,[C Projeto GPFB]-[Cat] Entrada de Mercadoria,2013-02-19,2013-08-09,fechado,Markup (Preço de Venda) não esta calculando o preço de venda ao ser preenchido.,,,"Ao preencher o campo Markup (Preço de Venda) e passar para o próximo campo o sistema não esta calculando o campo ""Preço de Venda"" na entrada de mercadorias."
0000362,C Projeto GPFB,Ytalo,Jeferson,[C Projeto GPFB]-[Cat] Outras,2013-02-18,2013-08-09,fechado,Menu iniciar não esta sendo exibido ao utilizar o PDV.,,,"Ao ativar a opção ""ocultar automaticamente a barra de tarefas"" e utilizar o PDV, o sistema não exibe a barra do menu iniciar quando solicitado."
0000361,C Projeto GPFB,Ytalo,Jeferson,[C Projeto GPFB]-[Cat] Outras,2013-02-18,2013-08-09,fechado,Cadastro de vendedor não esta funcionando corretamente.,,,"Ao cadastrar um vendedor e em seguida clicar em alterar, a opção ""vendedor inativo"" esta vindo marcada, sendo que ao fazer o cadastro a mesma opção encontrava-se desmarcada."
0000360,C Projeto GPFB,Ytalo,Jeferson,[C Projeto GPFB]-[Cat] Entrada de Mercadoria,2013-01-30,2013-08-09,fechado,"A opção ""Aplicar valor da substituição selo no preço de custo"" não está funcionando corretamente na entrada de mercadorias.",,,"Ao marcar a opção ""Aplicar valor da substituição selo no preço de custo"", sendo que no cabeçalho da nota os campos ""Base Calc. Substituição Tributária (ST)"", ""Valor Subst. Tributária (Retido)"" e os campos referentes ao selo estão preenchidos corretamente, a  opção não esta funcionando ao lançar os produtos e em seguida clicar em alterá-los."
0000358,C Projeto GPFB,Ytalo,Jeferson,[C Projeto GPFB]-[Cat] Outras,2013-01-17,2013-08-09,fechado,"Cancelamento por evento cancela no sistema,mas não cancela na Sefaz,quando a hora do pc esta incorreta com a da internet.",,,"Ao Cancelar uma nota fiscal por evento, a nota esta sendo cancelada no sistema,mas não esta sendo cancelada na Sefaz, isso quando a hora do PC não esta sincronizada com o horário da internet."
0000357,C Projeto GPFB,Ytalo,Jeferson,[C Projeto GPFB]-[Cat] Cadastro de Produtos,2013-01-16,2013-08-09,fechado,Erro no F7 ao clicar em alterar quando não ha nenhum produto selecionado.,,,"Na tela de cadastro de produto, ao clicar em alterar sem selecionar nenhum produto o sistema esta mostrando a seguinte mensagem de erro.

SQL Error:  Dynamic SQL Error SQL error code = -104 Unexpected end of command - line 1, column 35. Error Code: -104. Invalid token The SQL: SELECT * FROM IN01PRO WHERE CDPRO = 
; 
O comando não pôde ser executado"
0000356,C Projeto GPFB,Ytalo,Jeferson,[C Projeto GPFB]-[Cat] Fechamento de Caixa,2013-01-14,2013-08-09,fechado,"Erro ao fechar venda com valor acima de 999,99",,,"Ao fecha venda com produto com valor acima de 999,99 o sistema esta mostrando a seguinte mensagem de erro.

'11.360,00' is not a valid floating point value
O comando não pôde ser executado!"
0000355,C Projeto GPFB,Ytalo,Jeferson,[C Projeto GPFB]-[Cat] Cadastro de Produtos,2013-01-11,2013-08-09,fechado,Erro ao inserir produto quando a opção 'Alterar preço de venda por markup' esta marcarda.,,,Erro ao inserir produto quando a opção 'Alterar preço de venda por markup' esta marcarda.
